Time,mAU
17.73893333,-0.069737434
17.74378667,-0.070631504
17.74864,-0.071287155
17.75349333,-0.071585178
17.75834667,-0.071763992
17.7632,-0.071525574
17.76805333,-0.070869923
17.77290667,-0.070333481
17.77776,-0.069737434
17.78261333,-0.069081783
17.78746667,-0.068426132
17.79232,-0.067830086
17.79717333,-0.067412853
17.80202667,-0.067055225
17.80688,-0.066816807
17.81173333,-0.066757202
17.81658667,-0.066936016
17.82144,-0.067293644
17.82629333,-0.067710876
17.83114667,-0.0680089
17.836,-0.068426132
17.84085333,-0.068604946
17.84570667,-0.068664551
17.85056,-0.06878376
17.85541333,-0.068962574
17.86026667,-0.069022179
17.86512,-0.069022179
17.86997333,-0.06878376
17.87482667,-0.068366528
17.87968,-0.067651272
17.88453333,-0.066876411
17.88938667,-0.06622076
17.89424,-0.065863132
17.89909333,-0.065803528
17.90394667,-0.066041946
17.9088,-0.066518784
17.91365333,-0.06711483
17.91850667,-0.067591667
17.92336,-0.06788969
17.92821333,-0.068068504
17.93306667,-0.068187714
17.93792,-0.068247318
17.94277333,-0.068187714
17.94762667,-0.0680089
17.95248,-0.067949295
17.95733333,-0.067532063
17.96218667,-0.067055225
17.96704,-0.06633997
17.97189333,-0.065505505
17.97674667,-0.064730644
17.9816,-0.064194202
17.98645333,-0.064015388
17.99130667,-0.064313412
17.99616,-0.065088272
18.00101333,-0.065863132
18.00586667,-0.066637993
18.01072,-0.066936016
18.01557333,-0.066816807
18.02042667,-0.066161156
18.02528,-0.065207481
18.03013333,-0.064134598
18.03498667,-0.063359737
18.03984,-0.063061714
18.04469333,-0.063359737
18.04954667,-0.064015388
18.0544,-0.064969063
18.05925333,-0.065863132
18.06410667,-0.066518784
18.06896,-0.066697598
18.07381333,-0.066399574
18.07866667,-0.065863132
18.08352,-0.065147877
18.08837333,-0.06455183
18.09322667,-0.063955784
18.09808,-0.063419342
18.10293333,-0.062942505
18.10778667,-0.062525272
18.11264,-0.062048435
18.11749333,-0.061810017
18.12234667,-0.061750412
18.1272,-0.061988831
18.13205333,-0.062525272
18.13690667,-0.063359737
18.14176,-0.064253807
18.14661333,-0.064849854
18.15146667,-0.065386295
18.15632,-0.065624714
18.16117333,-0.065684319
18.16602667,-0.065803528
18.17088,-0.065922737
18.17573333,-0.066161156
18.18058667,-0.06622076
18.18544,-0.066161156
18.19029333,-0.065803528
18.19514667,-0.065207481
18.2,-0.064611435
18.20485333,-0.064074993
18.20970667,-0.063598156
18.21456,-0.063121319
18.21941333,-0.062823296
18.22426667,-0.062584877
18.22912,-0.062406063
18.23397333,-0.062167645
18.23882667,-0.062048435
18.24368,-0.061869621
18.24853333,-0.061810017
18.25338667,-0.061750412
18.25824,-0.061810017
18.26309333,-0.061810017
18.26794667,-0.061869621
18.2728,-0.061869621
18.27765333,-0.061929226
18.28250667,-0.061988831
18.28736,-0.062286854
18.29221333,-0.062704086
18.29706667,-0.063538551
18.30192,-0.06455183
18.30677333,-0.065505505
18.31162667,-0.066161156
18.31648,-0.06633997
18.32133333,-0.066041946
18.32618667,-0.065386295
18.33104,-0.064730644
18.33589333,-0.064194202
18.34074667,-0.064134598
18.3456,-0.064373016
18.35045333,-0.064969063
18.35530667,-0.065684319
18.36016,-0.066161156
18.36501333,-0.06622076
18.36986667,-0.065803528
18.37472,-0.064909458
18.37957333,-0.063717365
18.38442667,-0.062525272
18.38928,-0.061452389
18.39413333,-0.060915947
18.39898667,-0.061035156
18.40384,-0.061750412
18.40869333,-0.062942505
18.41354667,-0.064492226
18.4184,-0.065922737
18.42325333,-0.067174435
18.42810667,-0.068068504
18.43296,-0.068604946
18.43781333,-0.068724155
18.44266667,-0.068604946
18.44752,-0.068128109
18.45237333,-0.067472458
18.45722667,-0.066697598
18.46208,-0.065743923
18.46693333,-0.064730644
18.47178667,-0.063836575
18.47664,-0.063061714
